CODE 	STATION NAME 	Lat	Long	Alt	desamp	 anntr	diuramp	diurmax	seasamp	peakdiur	seasmax	monthmax	err	p
PL0004R                                	 Leba   	54.75	17.5333	2	15.72356	-0.0088	10.83715	37.8	22.21927	14	42.84508	5	0.00761	0.24969
PL0005R                                  	Diabla Gora	54.15	22.6666	157	23.94795	0.00778	13.80931	37.31458	20.76124	14	39.21162	4	0.01012	0.44377
PT0004R                             	 Monte Velho 	38.8333	-8.8	43	37.01892	0.04494	17.86052	41.26314	13.13251	16	39.44817	4	0.0215	0.03908
SE0011R                                   	Vavihill	56.1666	13.15	175	17.38352	0.02835	8.1747	34.76687	20.97775	14	40.48555	5	0.00863	0.00133
SE0012R                              	Aspvreten 	58.8	17.3833	20	13.31083	0.02656	11.50365	36.66369	18.69058	15	40.51813	5	0.00754	6.07E-04
SE0013R                                    	Esrange 	67.8833	21.666	475	14.36597	-1.67E-04	2.73753	34.38861	18.95777	15	44.48499	4	0.00706	0.98122
SE0032R                           	 Norra-Kvill  	57.8166	15.5666	261	19.32068	0.03355	6.71223	35.84564	19.99193	14	42.10972	5	0.00796	<0.0001
SE0035R                                   	Vindeln  	64.25	19.7666	225	20.32459	-0.00141	9.29377	33.19647	21.73652	14	41.8677	4	0.00766	0.85448
SI0008R                               	 Iskrba   	45.5666	14.8666	520	16.28506	-0.00298	29.5931	44.30498	19.2086	14	38.23736	4	0.00849	0.72624
SI0031R                                	 Zarodnje  	46.4286	15.033	770	23.4075	0.02695	8.58322	38.58774	26.31552	14	46.06727	5	0.01116	0.01723
SI0032R                                  	 Krvavec  	46.2994	14.5386	1740	20.69944	-0.00273	3.23098	50.46047	19.49093	20	58.10637	6	0.02015	0.76092
SI0033R                                 	 Kovk    	46.1286	15.1138	600	27.88676	0.02877	8.49415	39.63483	26.97843	14	46.24037	5	0.01232	0.02123
SK0004R                                     	 Stará Lesná	49.15	20.2833	808	25.70441	0.08408	14.70781	38.54911	20.86744	14	41.12747	4	0.01344	<0.0001
SK0006R                                         	 Starina  	49.5	22.2666	345	27.56337	0.05223	13.2798	38.69598	15.61593	14	41.12747	4	0.01344	<0.0001
